"areacd","category","value"
"E07000133","Aged 65+",8809
"E07000134","Aged 0 to 15",17592
"E07000134","Aged 16 to 64",59670
"E07000134","Aged 65+",15466
"E07000135","Aged 0 to 15",9905
"E07000135","Aged 16 to 64",35049
"E07000135","Aged 65+",10646
"E07000136","Aged 0 to 15",11025
"E07000136","Aged 16 to 64",40063
"E07000136","Aged 65+",12311
"E07000137","Aged 0 to 15",21257
"E07000137","Aged 16 to 64",81730
"E07000137","Aged 65+",34153
"E07000138","Aged 0 to 15",15326
"E07000138","Aged 16 to 64",62443
"E07000138","Aged 65+",13044
"E07000139","Aged 0 to 15",19030
"E07000139","Aged 16 to 64",66100
"E07000139","Aged 65+",21326
"E07000140","Aged 0 to 15",14827
"E07000140","Aged 16 to 64",53163
"E07000140","Aged 65+",18997
"E07000141","Aged 0 to 15",24804
"E07000141","Aged 16 to 64",83162
"E07000141","Aged 65+",24222
"E07000142","Aged 0 to 15",15750
"E07000142","Aged 16 to 64",55071
"E07000142","Aged 65+",17795
"E07000170","Aged 0 to 15",22416
"E07000170","Aged 16 to 64",75876
"E07000170","Aged 65+",19583
"E07000171","Aged 0 to 15",20609
"E07000171","Aged 16 to 64",71836
"E07000171","Aged 65+",20118
"E07000172","Aged 0 to 15",18361
"E07000172","Aged 16 to 64",71330
"E07000172","Aged 65+",19526
"E07000173","Aged 0 to 15",20228
"E07000173","Aged 16 to 64",71988
"E07000173","Aged 65+",20472
"E07000174","Aged 0 to 15",19002
"E07000174","Aged 16 to 64",67370
"E07000174","Aged 65+",17339
"E07000175","Aged 0 to 15",21014
"E07000175","Aged 16 to 64",72035
"E07000175","Aged 65+",20865
"E07000176","Aged 0 to 15",20442
"E07000176","Aged 16 to 64",70209
"E07000176","Aged 65+",19486
"E06000019","Aged 0 to 15",31596
"E06000019","Aged 16 to 64",113111
"E06000019","Aged 65+",37660
"E06000020","Aged 0 to 15",34122
"E06000020","Aged 16 to 64",107652
"E06000020","Aged 65+",23115
"E06000021","Aged 0 to 15",48003
"E06000021","Aged 16 to 64",159697
"E06000021","Aged 65+",38169
"E06000051","Aged 0 to 15",52924
"E06000051","Aged 16 to 64",188642
"E06000051","Aged 65+",60503
"E07000192","Aged 0 to 15",18482
"E07000192","Aged 16 to 64",63272
"E07000192","Aged 65+",14760
"E07000193","Aged 0 to 15",21828
"E07000193","Aged 16 to 64",71761
"E07000193","Aged 65+",18444
"E07000194","Aged 0 to 15",17754
"E07000194","Aged 16 to 64",63233
"E07000194","Aged 65+",19025
"E07000195","Aged 0 to 15",21221
"E07000195","Aged 16 to 64",79949
"E07000195","Aged 65+",21903
"E07000196","Aged 0 to 15",18029
"E07000196","Aged 16 to 64",68101
"E07000196","Aged 65+",21431
"E07000197","Aged 0 to 15",22162
"E07000197","Aged 16 to 64",82792
"E07000197","Aged 65+",24087
"E07000198","Aged 0 to 15",16094
"E07000198","Aged 16 to 64",61295
"E07000198","Aged 65+",19392
"E07000199","Aged 0 to 15",15322
"E07000199","Aged 16 to 64",50537
"E07000199","Aged 65+",10396
"E07000218","Aged 0 to 15",11011
"E07000218","Aged 16 to 64",40191
"E07000218","Aged 65+",10922
"E07000219","Aged 0 to 15",24054
"E07000219","Aged 16 to 64",80317
"E07000219","Aged 65+",19959
"E07000220","Aged 0 to 15",18725
"E07000220","Aged 16 to 64",62418
"E07000220","Aged 65+",16519
"E07000221","Aged 0 to 15",20912
"E07000221","Aged 16 to 64",74002
"E07000221","Aged 65+",24912
"E07000222","Aged 0 to 15",23218
"E07000222","Aged 16 to 64",92673
"E07000222","Aged 65+",22298
"E07000234","Aged 0 to 15",16846
"E07000234","Aged 16 to 64",58416
"E07000234","Aged 65+",18182
"E07000235","Aged 0 to 15",12793
"E07000235","Aged 16 to 64",44062
"E07000235","Aged 65+",17286
"E07000236","Aged 0 to 15",16367
"E07000236","Aged 16 to 64",55613
"E07000236","Aged 65+",11122
"E07000237","Aged 0 to 15",18212
"E07000237","Aged 16 to 64",64628
"E07000237","Aged 65+",14277
"E07000238","Aged 0 to 15",20470
"E07000238","Aged 16 to 64",72220
"E07000238","Aged 65+",23809
"E07000239","Aged 0 to 15",16898
"E07000239","Aged 16 to 64",61694
"E07000239","Aged 65+",19401
"E08000025","Aged 0 to 15",240055
"E08000025","Aged 16 to 64",672588
"E08000025","Aged 65+",137429
"E08000026","Aged 0 to 15",61388
"E08000026","Aged 16 to 64",200470
"E08000026","Aged 65+",45535
"E08000027","Aged 0 to 15",59416
"E08000027","Aged 16 to 64",195206
"E08000027","Aged 65+",56466
"E08000028","Aged 0 to 15",64621
"E08000028","Aged 16 to 64",191111
"E08000028","Aged 65+",46571
"E08000029","Aged 0 to 15",39368
"E08000029","Aged 16 to 64",128044
"E08000029","Aged 65+",38058
"E08000030","Aged 0 to 15",55291
"E08000030","Aged 16 to 64",164760
"E08000030","Aged 65+",44723
"E08000031","Aged 0 to 15",48740
"E08000031","Aged 16 to 64",156777
"E08000031","Aged 65+",40499
"E06000031","Aged 0 to 15",37917
"E06000031","Aged 16 to 64",116933
"E06000031","Aged 65+",24113
"E06000032","Aged 0 to 15",45414
"E06000032","Aged 16 to 64",126571
"E06000032","Aged 65+",23464
"E06000033","Aged 0 to 15",32514
"E06000033","Aged 16 to 64",107415
"E06000033","Aged 65+",30084
"E06000034","Aged 0 to 15",33465
"E06000034","Aged 16 to 64",101916
"E06000034","Aged 65+",19622
"E06000055","Aged 0 to 15",31238
"E06000055","Aged 16 to 64",99423
"E06000055","Aged 65+",24147
"E06000056","Aged 0 to 15",49614
"E06000056","Aged 16 to 64",162818
"E06000056","Aged 65+",37897
"E07000008","Aged 0 to 15",16991
"E07000008","Aged 16 to 64",85575
"E07000008","Aged 65+",14180
"E07000009","Aged 0 to 15",15935
"E07000009","Aged 16 to 64",52610
"E07000009","Aged 65+",13812
"E07000010","Aged 0 to 15",16992
"E07000010","Aged 16 to 64",58736
"E07000010","Aged 65+",18676
"E07000011","Aged 0 to 15",32373
